Games,Year,F,M,Total_athletes,Percentage_women
1896 Summer,1896,,176.0,,
1900 Summer,1900,23.0,1201.0,1224.0,0.018790849673202614
1904 Summer,1904,6.0,644.0,650.0,0.009230769230769232
1908 Summer,1908,44.0,1980.0,2024.0,0.021739130434782608
1912 Summer,1912,53.0,2324.0,2377.0,0.022297013041649136
1920 Summer,1920,77.0,2588.0,2665.0,0.028893058161350845
1924 Summer,1924,135.0,2932.0,3067.0,0.04401695467883926
1928 Summer,1928,274.0,2603.0,2877.0,0.09523809523809523
1932 Summer,1932,126.0,1207.0,1333.0,0.09452363090772693
1936 Summer,1936,329.0,3627.0,3956.0,0.08316481294236602
1948 Summer,1948,393.0,3681.0,4074.0,0.09646539027982327
1952 Summer,1952,521.0,4411.0,4932.0,0.10563665855636659
1956 Summer,1956,384.0,2963.0,3347.0,0.11472960860472065
1960 Summer,1960,613.0,4739.0,5352.0,0.11453662182361735
1964 Summer,1964,680.0,4457.0,5137.0,0.1323729803387191
1968 Summer,1968,783.0,4775.0,5558.0,0.14087801367398345
1972 Summer,1972,1060.0,6054.0,7114.0,0.1490019679505201
1976 Summer,1976,1260.0,4813.0,6073.0,0.20747571216861518
1980 Summer,1980,1123.0,4136.0,5259.0,0.2135386955694999
1984 Summer,1984,1569.0,5229.0,6798.0,0.23080317740511916
1988 Summer,1988,2203.0,6251.0,8454.0,0.2605867045185711
1992 Summer,1992,2723.0,6663.0,9386.0,0.2901129341572555
1996 Summer,1996,3517.0,6822.0,10339.0,0.3401682948060741
2000 Summer,2000,4068.0,6579.0,10647.0,0.3820794590025359
2004 Summer,2004,4300.0,6257.0,10557.0,0.40731268352751726
2008 Summer,2008,4609.0,6290.0,10899.0,0.42288283328745757
2012 Summer,2012,4654.0,5863.0,10517.0,0.44252163164400493
2016 Summer,2016,5034.0,6145.0,11179.0,0.4503086143662224
